OBJECTID,HydroID,Division,RivRegNum,RivRegName,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,Shape_Length,Shape_Area
"71","9400286",South East Coast (NSW),"15",SHOALHAVEN RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,7178214843.42052,7.87999997800068,0.709812499767493
"72","9400287",Tanami-Timor Sea Coast,"14",FINNISS RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,9436949830.03636,10.7850000319992,0.786037499987504
"73","9400288",Tasmania,"16",MERSEY RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1975347632.65538,4.01500000999999,0.213174999867486
"74","9400289",North East Coast,"16",HERBERT RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,9896294197.56857,9.0750000219989,0.845037500031245
"75","9400290",South East Coast (NSW),"16",CLYDE RIVER-JERVIS BAY, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3291706357.44816,5.61500000500075,0.326562500295001
"76","9400291",South West Coast,"13",SWAN COAST-AVON RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,121447895188.672,28.1350000239996,11.54201249928
"77","9400292",Carpentaria Coast,"15",FLINDERS-NORMAN RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,231347114552.936,30.4050000239996,19.87960625002
"78","9400293",Tanami-Timor Sea Coast,"15",BATHURST-MELVILLE ISLANDS, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,7487375380.10885,10.2899999919997,0.620543750059999
"79","9400294",Tasmania,"17",RUBICON RIVER, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,676116148.84677,2.14000000100066,0.0726874999387556
"80","9400295",North East Coast,"17",BLACK RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1060783911.20437,2.62999999800059,0.0911062498899963
"81","9400296",South East Coast (NSW),"17",MORUYA RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1497183436.32165,2.55000000000052,0.149362500027503
"82","9400297",South West Coast,"14",MOORE-HILL RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,90980282459.9053,24.4999999659976,8.46243750005503
"83","9400298",Tanami-Timor Sea Coast,"16",ADELAIDE RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,7440122497.32708,7.31999999200207,0.619906250007493
"84","9400299",Tasmania,"18",TAMAR RIVER, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,11377901489.3681,10.1450000119996,1.23060625021749
"85","9400300",North East Coast,"18",ROSS RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1330680699.85727,2.2850000049998,0.114462500015002
"86","9400301",South East Coast (NSW),"18",TUROSS RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2162523057.06285,3.48999999399882,0.216674999892502
"87","9400302",Tanami-Timor Sea Coast,"17",MARY RIVER (NT), , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,8099654339.68891,7.84000002600214,0.675381250265005
"88","9400303",Tasmania,"19",PIPER-RINGAROOMA RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3544314620.22019,5.21500000999947,0.379881249732504
"89","9400304",North East Coast,"19",HAUGHTON RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4141639001.28222,5.83500002500045,0.356743750243749
"90","9400305",South East Coast (NSW),"19",BEGA RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2842297878.15949,3.49000000000012,0.286224999969999
"91","9400306",Carpentaria Coast,"16",MITCHELL-COLEMAN RIVERS (QLD), , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,83287729803.1768,23.1749999869987,7.03745000009501
"92","9400307",Tanami-Timor Sea Coast,"18",WILDMAN RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4807064948.3756,4.55500000200038,0.3999624998225
"93","9400308",North East Coast,"2",OLIVE-PASCOE RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4167867110.10452,5.33000000599907,0.346618749996255
"94","9400309",South East Coast (NSW),"2",BRUNSWICK RIVER, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,512121408.711635,1.61499999599948,0.0471874999850065
