from,count,to,count reapportioned
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663930000,0.007565
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663980000,0.000096
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20710440000,0.015515
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663970000,0.335932
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20710450000,0.006344
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663920000,0.608444
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663910000,0.003832
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12101547>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/20663950000,0.000006
