Address,Proportion within,SA2
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714876373,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714882276,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714966597,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714966598,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967378,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967379,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967380,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967381,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967382,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967383,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967384,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967385,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967386,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967387,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967388,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967389,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967390,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967391,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967392,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967393,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967394,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967395,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967396,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967397,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967398,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967399,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967400,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967401,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967402,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT714967542,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101111,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101112,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101113,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101114,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101115,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101116,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101146,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101148,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101806,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101807,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101808,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101809,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101810,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101811,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101812,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101817,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101818,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101819,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101820,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101821,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101822,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101823,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715101824,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715225579,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715225580,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715225582,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715225583,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715225584,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715707363,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715709681,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715709682,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715709683,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT715709684,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT716244321,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT716244670,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT716244671,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT716244739,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717230615,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717738197,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936763,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936764,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936765,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936766,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936767,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936768,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936769,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936770,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936771,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936772,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936773,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936774,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936775,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936776,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936803,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936804,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936854,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936855,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936856,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936857,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936858,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936861,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936862,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936880,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936881,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936882,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936883,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936890,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936891,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936892,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936908,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936910,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936911,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936912,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936913,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936914,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936915,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936916,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936918,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936919,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936920,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
